area_type,availability,location,BHK,society,total_sqft,bath,balcony,price,latitude,longitude,price_per_sqft,dist_to_center_km,location_encoded
Super built-up  Area,Ready To Move,electronic city,2.0,Itelaa ,660.0,1,1,23.1,12.8487599,77.648253,3500.0,14.929279660467824,254
Built-up  Area,20-Dec,whitefield,3.0,Prestige Shantiniketan,1610.0,3,2,81.0,12.9963995,77.7614229,5031.055900621118,17.298373199811177,792
Super built-up  Area,17-Oct,ramagondanahalli,2.0,ViistLa,1151.0,2,2,48.77,12.9558969,77.7405826,4237.185056472633,15.065144995727481,620
Super built-up  Area,Ready To Move,electronic city,3.0,KBityo ,1025.0,2,1,47.0,12.8487599,77.648253,4585.365853658536,14.929279660467824,254
Super built-up  Area,Ready To Move,hebbal,3.0,Mahosya,1760.0,2,2,123.0,13.0382184,77.5919,6988.636363636364,6.960805553280324,322
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3.0,GrrvaGr,1693.0,3,3,57.39,12.932582,77.5162034,3389.84051978736,10.616098723136094,607
Super built-up  Area,21-Dec,kanakpura road,2.0,PrarePa,700.0,2,1,36.0,12.8857667,77.5527529,5142.857142857143,11.419297796997913,422
Super built-up  Area,Ready To Move,electronics city phase 1,2.0,Prestige Shantiniketan,1070.0,2,1,45.5,12.8401734,77.6595099,4252.336448598131,16.24822297994129,257
Super built-up  Area,Ready To Move,kundalahalli,3.0,Dieldli,1724.0,3,2,125.0,12.977594,77.7155586,7250.580046403712,12.18031108137115,472
Super built-up  Area,Ready To Move,chikkalasandra,3.0,Prestige Shantiniketan,1290.0,2,2,56.12,12.9121916,77.5476337,4350.387596899225,9.315900738901647,189
Built-up  Area,Ready To Move,uttarahalli,2.0,Prestige Shantiniketan,1143.0,2,2,45.0,12.9055682,77.5455438,3937.0078740157483,10.025399826859365,748
Super built-up  Area,19-Dec,sarjapur  road,3.0,Soini T,1254.0,3,2,38.0,12.9239942,77.6530304,3030.3030303030305,7.912154314694237,653
Super built-up  Area,Ready To Move,ganga nagar,1.0,Ceove G,600.0,1,0,38.0,13.0232471,77.5883569,6333.333333333333,5.4408933118414105,267
Plot  Area,Ready To Move,yelahanka,1.0,Prestige Shantiniketan,660.0,1,0,48.0,13.1006982,77.5963454,7272.727272727273,13.782932785971552,799
Super built-up  Area,19-Sep,kanakpura road,2.0,Soazak ,1330.74,2,2,91.79,12.8857667,77.5527529,6897.665960292769,11.419297796997913,422
Super built-up  Area,Ready To Move,doddathoguru,2.0,LancyRe,970.0,2,0,33.0,12.8505644,77.6466948,3402.061855670103,14.685650745790339,237
Super built-up  Area,20-Sep,whitefield,2.0,Goted U,1459.0,2,1,94.82,12.9963995,77.7614229,6498.971898560658,17.298373199811177,792
Built-up  Area,Ready To Move,himagiri meadows,2.0,Prestige Shantiniketan,869.0,2,1,36.0,12.8963002,77.5894113,4142.692750287687,8.977775256036441,334
Super built-up  Area,Ready To Move,adarsh nagar,2.0,Bhncyis,1270.0,2,1,50.0,13.0305452,77.609433,3937.0078740157483,6.037942999834151,41
Built-up  Area,Ready To Move,whitefield,3.0,Suent V,2010.0,3,2,91.0,12.9963995,77.7614229,4527.363184079602,17.298373199811177,792
Super built-up  Area,Ready To Move,yelahanka,3.0,NCowsar,1600.0,2,3,75.0,13.1006982,77.5963454,4687.5,13.782932785971552,799
Super built-up  Area,Ready To Move,begur road,2.0,Dhalsh ,1200.0,2,2,44.0,12.9068424,77.6283318,3666.6666666666665,8.150033758680694,126
Plot  Area,Ready To Move,murugeshpalya,6.0,Prestige Shantiniketan,1407.0,4,1,150.0,12.9589406,77.6555917,10660.980810234541,5.989808681336442,529
Super built-up  Area,Ready To Move,govindaraja nagar ward,2.0,Prestige Shantiniketan,840.0,2,2,45.0,12.9684575,77.5206743,5357.142857142857,9.0065063232401,289
Plot  Area,Ready To Move,tharabanahalli,3.0,Prestige Shantiniketan,4395.0,3,2,240.0,13.101684,77.4798441,5460.750853242321,19.28036379731975,732
Super built-up  Area,Ready To Move,ganga nagar,2.0,Laavevi,845.0,2,1,55.0,13.0232471,77.5883569,6508.87573964497,5.4408933118414105,267
Plot  Area,Ready To Move,whitefield,4.0,Chranya,5700.0,5,3,650.0,12.9963995,77.7614229,11403.508771929824,17.298373199811177,792
Built-up  Area,Ready To Move,varthur,2.0,HioraTr,1160.0,2,2,44.0,12.9406508,77.746988,3793.103448275862,16.081642884552437,754
Built-up  Area,Ready To Move,bommanahalli,8.0,Prestige Shantiniketan,3000.0,8,0,140.0,12.9089453,77.6239038,4666.666666666667,7.779621744788584,150
Super built-up  Area,Ready To Move,doddathoguru,2.0,Prestige Shantiniketan,1100.0,2,1,62.0,12.8505644,77.6466948,5636.363636363636,14.685650745790339,237
Super built-up  Area,18-Apr,gunjur,2.0,BMineis,1140.0,2,3,43.0,12.9209772,77.7361016,3771.9298245614036,15.655804881554053,301
Super built-up  Area,Ready To Move,marathahalli,2.0,Prestige Shantiniketan,1220.0,2,1,57.0,12.9552572,77.6984163,4672.131147540984,10.579390364599004,513
Plot  Area,Ready To Move,devarachikkanahalli,8.0,Prestige Shantiniketan,1350.0,7,0,85.0,12.9020179,77.6015875,6296.2962962962965,8.219927214721027,221
Super built-up  Area,Ready To Move,kanakpura road,2.0,Prestige Shantiniketan,1005.0,2,1,36.68,12.8857667,77.5527529,3649.7512437810947,11.419297796997913,422
Super built-up  Area,20-Aug,begur road,2.0,Pruthg ,1358.0,2,1,80.58,12.9068424,77.6283318,5933.726067746687,8.150033758680694,126
Super built-up  Area,Ready To Move,hegde nagar,3.0,Sonosty,1569.0,3,1,101.0,13.0720352,77.6333905,6437.221159974506,11.082806036832888,324
Super built-up  Area,18-Apr,haralur road,2.0,SNnia E,1240.0,2,1,70.0,12.9018012,77.6641767,5645.1612903225805,10.562380269703612,315
Super built-up  Area,Ready To Move,hennur road,3.0,Anavi B,2089.0,3,2,140.0,13.033236,77.6314559,6701.771182383915,7.000368584465666,330
Super built-up  Area,Ready To Move,kalena agrahara,2.0,Prestige Shantiniketan,1150.0,2,3,40.0,12.8658068,77.5911918,3478.2608695652175,12.294260436201947,406
Built-up  Area,Ready To Move,cholanayakanahalli,3.0,Viony H,2511.0,3,3,205.0,13.0364498,77.5975272,8164.078056551175,6.68380780826972,195
Built-up  Area,Ready To Move,kaval byrasandra,2.0,Prestige Shantiniketan,460.0,1,0,22.0,13.0200235,77.6092887,4782.608695652174,4.880586767557513,432
Built-up  Area,Ready To Move,isro layout,6.0,Prestige Shantiniketan,4400.0,6,3,250.0,12.8974283,77.5573828,5681.818181818182,10.04796670558189,364
Super built-up  Area,19-Mar,yelahanka,2.0,Niareum,1326.0,2,2,78.0,13.1006982,77.5963454,5882.35294117647,13.782932785971552,799
Super built-up  Area,Ready To Move,garudachar palya,3.0,Prestige Shantiniketan,1325.0,2,2,60.8,12.9861986,77.702146,4588.679245283019,10.779855637228136,269
Super built-up  Area,Ready To Move,epip zone,3.0,SJlynro,1499.0,5,2,102.0,12.9781922,77.7246451,6804.536357571715,13.166955828802346,259
Built-up  Area,Ready To Move,hegde nagar,6.0,Prestige Shantiniketan,3000.0,7,2,210.0,13.0720352,77.6333905,7000.0,11.082806036832888,324
Super built-up  Area,Ready To Move,kanakpura road,3.0,Prestige Shantiniketan,1665.0,3,2,88.0,12.8857667,77.5527529,5285.285285285286,11.419297796997913,422
Super built-up  Area,17-Sep,dasanapura,2.0,Tavenew,708.0,2,2,37.0,12.7467724,77.7742876,5225.988700564972,31.452232281552188,210
Super built-up  Area,Ready To Move,kasavanhalli,2.0,Srire S,1060.0,2,2,58.06,12.9047595,77.6759172,5477.358490566037,11.168251456256096,427
Built-up  Area,Ready To Move,sanjay nagar,2.0,Saenti ,1000.0,2,2,70.0,12.9578658,77.6958748,7000.0,10.24922226271287,648
Super built-up  Area,18-Dec,electronic city,2.0,Prestige Shantiniketan,1000.0,2,1,28.88,12.8487599,77.648253,2888.0,14.929279660467824,254
Super built-up  Area,Ready To Move,mysore highway,3.0,Prestige Shantiniketan,1450.0,2,2,70.0,12.8822917,77.4479257,4827.586206896552,19.810075566595284,532
Super built-up  Area,17-Aug,thanisandra,2.0,Bhmesy ,1296.0,2,3,80.0,13.054713,77.6339258,6172.83950617284,9.289278965405718,730
Super built-up  Area,Ready To Move,domlur,3.0,Prestige Shantiniketan,1540.0,3,2,90.0,12.9624669,77.6381958,5844.1558441558445,4.083717369976185,242
Plot  Area,Ready To Move,kengeri,4.0,Goardth,2894.0,4,1,245.0,12.9176571,77.4837568,8465.791292328957,14.503311175021313,440
Built-up  Area,Ready To Move,t dasarahalli,3.0,Prestige Shantiniketan,1200.0,3,1,90.0,13.0457517,77.514043,7500.0,12.360766511963936,718
Super built-up  Area,Ready To Move,yeshwanthpur,3.0,IBityin,2502.0,3,3,138.0,13.0176937,77.5555009,5515.587529976019,6.918144583373172,803
Built-up  Area,Ready To Move,chandapura,2.0,KHityry,650.0,1,1,17.0,12.8009043,77.7114908,2615.3846153846152,22.68025129081959,177
Plot  Area,Ready To Move,kothanur,3.0,BDensar,2400.0,2,1,150.0,13.0613601,77.6493895,6250.0,10.655945836094778,459
Super built-up  Area,Ready To Move,green view layout,2.0,Makeser,1007.0,2,2,43.0,13.0084501,77.6581724,4270.109235352532,6.934615530807048,294
Super built-up  Area,Ready To Move,shantiniketan layout,2.0,Maest N,1200.0,2,2,50.0,12.8824524,77.6024627,4166.666666666667,10.382746985007655,673
Super built-up  Area,Ready To Move,peenya,2.0,Prestige Shantiniketan,966.0,2,2,49.9,13.0329814,77.5331801,5165.631469979296,9.858244007806837,587
Built-up  Area,Ready To Move,nagarbhavi,3.0,Prestige Shantiniketan,1630.0,2,1,98.0,12.9651215,77.5090098,6012.269938650306,10.304724204350308,536
Built-up  Area,Ready To Move,jalahalli west,2.0,Prestige Shantiniketan,782.0,2,2,55.68,13.0533332,77.5306036,7120.204603580562,11.611077635099743,378
Super built-up  Area,19-Apr,devanahalli,2.0,Oznuean,1260.0,2,2,66.78,13.2483502,77.7134377,5300.0,32.38023502853395,217
Super built-up  Area,Ready To Move,byatarayanapura,3.0,Reeroce,1413.0,2,2,75.0,13.0666526,77.591967,5307.855626326964,10.071082140843918,165
Super built-up  Area,Ready To Move,whitefield,2.0,Sonviik,1116.0,2,1,51.91,12.9963995,77.7614229,4651.433691756272,17.298373199811177,792
Super built-up  Area,Ready To Move,electronic city,3.0,DSgmax ,1530.0,2,1,45.9,12.8487599,77.648253,3000.0,14.929279660467824,254
Built-up  Area,Ready To Move,ramamurthy nagar,4.0,Prestige Shantiniketan,3700.0,4,1,225.0,13.0120218,77.6777817,6081.081081081081,8.99495375171863,622
Built-up  Area,Ready To Move,sarjapur  road,3.0,Cetattu,2497.0,3,2,140.0,12.9239942,77.6530304,5606.728073688426,7.912154314694237,653
Super built-up  Area,Ready To Move,kengeri,3.0,Vaens G,1540.0,2,3,64.0,12.9176571,77.4837568,4155.8441558441555,14.503311175021313,440
Super built-up  Area,18-Dec,thanisandra,3.0,Prestige Shantiniketan,1436.0,3,1,74.75,13.054713,77.6339258,5205.431754874652,9.289278965405718,730
Super built-up  Area,18-Jun,malleshwaram,2.0,Prestige Shantiniketan,1100.0,2,2,75.0,13.0027353,77.5703253,6818.181818181818,4.620691158880349,501
Plot  Area,Ready To Move,hennur road,2.0,Prestige Shantiniketan,276.0,3,3,23.0,13.033236,77.6314559,8333.333333333334,7.000368584465666,330
Super built-up  Area,Ready To Move,thanisandra,3.0,Moity S,1427.0,3,2,120.0,13.054713,77.6339258,8409.250175192712,9.289278965405718,730
Super built-up  Area,Ready To Move,akshaya nagar,3.0,HiahsLa,2061.0,3,1,200.0,13.0195427,77.6831272,9704.02717127608,9.893619787864791,49
Built-up  Area,Ready To Move,shampura,4.0,Prestige Shantiniketan,2650.0,4,2,150.0,13.0272035,77.6140682,5660.377358490566,5.751365225777821,666
Super built-up  Area,22-Dec,devanahalli,3.0,Sabixtt,1282.0,2,2,68.52,13.2483502,77.7134377,5344.773790951638,32.38023502853395,217
Built-up  Area,Ready To Move,kadugodi,2.0,Prestige Shantiniketan,1050.0,2,1,34.0,12.9957428,77.7579489,3238.095238095238,16.91530285154392,401
Built-up  Area,Ready To Move,lb shastri nagar,3.0,Sragei ,1600.0,3,2,65.0,12.9678103,77.6715478,4062.5,7.464001468505224,485
Super built-up  Area,22-Jan,vajarahalli,2.0,Prestige Shantiniketan,945.0,2,1,54.0,12.8775221,77.5448072,5714.285714285715,12.637497646692522,752
Built-up  Area,Ready To Move,peenya,3.0,Jahts H,1870.0,3,3,110.0,13.0329814,77.5331801,5882.35294117647,9.858244007806837,587
Plot  Area,Ready To Move,sarjapur,3.0,Inensba,1600.0,3,1,75.0,12.9116225,77.6388622,4687.5,8.129478301094458,652
Super built-up  Area,Ready To Move,electronic city,2.0,Itelaa ,880.0,1,1,16.5,12.8487599,77.648253,1875.0,14.929279660467824,254
Super built-up  Area,Ready To Move,kudlu gate,3.0,Srier P,1535.0,3,2,83.0,12.8899259,77.6392156,5407.166123778502,10.319784133893636,468
Built-up  Area,Ready To Move,kanakpura road,2.0,Wiowsri,950.0,2,1,57.0,12.8857667,77.5527529,6000.0,11.419297796997913,422
Super built-up  Area,18-Aug,devanahalli,2.0,Derdsig,1360.0,2,1,65.0,13.2483502,77.7134377,4779.411764705882,32.38023502853395,217
Super built-up  Area,18-May,bommasandra industrial area,3.0,Prestige Shantiniketan,1280.0,3,1,50.4,12.8139889,77.6952231,3937.5,20.541706460989023,152
Super built-up  Area,19-Jan,chandra layout,3.0,TiaksAa,1260.0,2,2,85.05,12.9590406,77.5250913,6750.0,8.697722974405064,178
Super built-up  Area,19-Dec,yelahanka,5.0,LedorSa,3050.0,5,1,213.0,13.1006982,77.5963454,6983.606557377049,13.782932785971552,799
Super built-up  Area,Ready To Move,kasavanhalli,3.0,HMwerCo,1563.05,3,1,105.0,12.9047595,77.6759172,6717.635392341896,11.168251456256096,427
Super built-up  Area,Ready To Move,isro layout,2.0,Prestige Shantiniketan,1000.0,2,1,60.0,12.8974283,77.5573828,6000.0,10.04796670558189,364
Super built-up  Area,17-Jul,anandapura,2.0,ViensRK,1167.0,2,1,43.76,13.0239276,77.6923621,3749.7857754927163,11.005220489750155,63
Super built-up  Area,Ready To Move,kengeri satellite town,2.0,HoiewLa,890.0,2,1,35.0,12.9229728,77.4842926,3932.5842696629215,14.196935557410693,441
Super built-up  Area,Ready To Move,basavanapura,3.0,Dwity T,1612.0,3,3,46.74,13.0169075,77.7207063,2899.5037220843674,13.506006474416129,118
Super built-up  Area,19-Apr,mysore road,3.0,Brama P,1710.0,4,2,91.31,12.9467026,77.5300705,5339.766081871345,8.593750582099863,533
Super built-up  Area,Ready To Move,kannamangala,2.0,VBownre,957.0,2,1,58.0,13.0155506,77.7630303,6060.606060606061,17.86436435636153,423
Super built-up  Area,18-May,devarachikkanahalli,3.0,Prestige Shantiniketan,1250.0,2,3,44.0,12.9020179,77.6015875,3520.0,8.219927214721027,221
Super built-up  Area,Ready To Move,hulimavu,2.0,Prcan P,1125.0,2,2,50.0,12.8773486,77.6028031,4444.444444444444,10.947112904832258,355
Super built-up  Area,18-Jul,electronic city phase ii,2.0,Sryalan,1020.0,2,1,30.6,12.8463512,77.6690975,3000.0,16.05187259186422,256
Super built-up  Area,Ready To Move,kalena agrahara,2.0,Prestige Shantiniketan,1200.0,2,2,50.0,12.8658068,77.5911918,4166.666666666667,12.294260436201947,406
Super built-up  Area,Ready To Move,thanisandra,3.0,Soitya ,1735.0,3,3,135.0,13.054713,77.6339258,7780.979827089337,9.289278965405718,730
Super built-up  Area,Ready To Move,thanisandra,3.0,G conTh,2050.0,3,1,145.0,13.054713,77.6339258,7073.170731707317,9.289278965405718,730
Built-up  Area,Ready To Move,yarandahalli,3.0,Prestige Shantiniketan,1350.0,2,3,48.0,12.8087698,77.6673579,3555.5555555555557,19.794841937735413,797
Super built-up  Area,18-May,hosa road,2.0,SStusan,1063.0,2,1,32.0,12.8816077,77.6448181,3010.348071495767,11.403534472892673,344
Super built-up  Area,Ready To Move,keshava nagar,3.0,ETens G,1904.0,3,1,150.0,12.9598176,77.5335655,7878.151260504202,7.782723872751028,444
Built-up  Area,Ready To Move,whitefield,4.0,Prestige Shantiniketan,4200.0,4,2,420.0,12.9963995,77.7614229,10000.0,17.298373199811177,792
Super built-up  Area,Ready To Move,rmv extension,3.0,Hohnari,2000.0,3,1,175.0,13.0356488,77.574775,8750.0,7.258459580936251,633
Super built-up  Area,Ready To Move,tejaswini nagar,3.0,Naods W,1425.0,2,2,75.0,12.8601269,77.6053051,5263.1578947368425,12.854047865521439,728
Super built-up  Area,Ready To Move,electronic city,3.0,GMown E,1500.0,2,1,64.5,12.8487599,77.648253,4300.0,14.929279660467824,254
Built-up  Area,Ready To Move,electronic city,2.0,GMown E,1060.0,2,1,60.0,12.8487599,77.648253,5660.377358490566,14.929279660467824,254
Built-up  Area,Ready To Move,jai bheema nagar,3.0,Sancyra,1470.0,2,2,70.0,12.9194294,77.6169759,4761.9047619047615,6.4642290709388535,370
Super built-up  Area,Ready To Move,attibele,1.0,Jae 1hu,450.0,1,1,11.0,12.7751249,77.7709216,2444.4444444444443,28.745847438159416,81
Super built-up  Area,18-Apr,electronic city,2.0,Prarkun,1152.0,2,1,64.5,12.8487599,77.648253,5598.958333333333,14.929279660467824,254
Super built-up  Area,Ready To Move,electronic city,3.0,GMown E,1350.0,2,1,56.0,12.8487599,77.648253,4148.148148148148,14.929279660467824,254
Super built-up  Area,Ready To Move,cv raman nagar,3.0,Srshq T,1550.0,3,3,65.0,12.9850987,77.6631173,4193.548387096775,6.562360825398594,207
Plot  Area,Ready To Move,nagavara,1.0,Prestige Shantiniketan,400.0,1,0,14.0,13.0374647,77.623602,3500.0,7.116077894017495,538
Super built-up  Area,Ready To Move,malleshwaram,1.0,Utntspa,705.0,1,2,67.0,13.0027353,77.5703253,9503.54609929078,4.620691158880349,501
Built-up  Area,Ready To Move,electronic city,2.0,GMown E,770.0,1,1,36.0,12.8487599,77.648253,4675.324675324675,14.929279660467824,254
Super built-up  Area,Ready To Move,hulimavu,2.0,Aniona ,1242.0,2,3,51.0,12.8773486,77.6028031,4106.280193236715,10.947112904832258,355
Super built-up  Area,Ready To Move,hebbal kempapura,3.0,Goateds,1700.0,3,2,155.0,13.0514799,77.5933559,9117.64705882353,8.386860107699267,323
Super built-up  Area,Ready To Move,thanisandra,3.0,Soitya ,2144.0,3,2,145.0,13.054713,77.6339258,6763.059701492537,9.289278965405718,730
Super built-up  Area,21-Jun,vijayanagar,3.0,Saahaat,1704.0,3,2,110.0,12.9709537,77.5373851,6455.399061032864,7.175932755917324,776
Super built-up  Area,Ready To Move,electronic city,2.0,GMown E,1070.0,2,1,52.0,12.8487599,77.648253,4859.813084112149,14.929279660467824,254
Super built-up  Area,Ready To Move,jakkuru layout,2.0,Prestige Shantiniketan,1340.0,2,2,55.7,13.0730642,77.5971076,4156.7164179104475,10.726144228432785,375
Built-up  Area,Ready To Move,electronic city,2.0,GMown E,1025.0,2,1,46.0,12.8487599,77.648253,4487.804878048781,14.929279660467824,254
Super built-up  Area,Ready To Move,marathahalli,2.0,VRave E,1200.0,2,2,52.0,12.9552572,77.6984163,4333.333333333333,10.579390364599004,513
Built-up  Area,18-Dec,kanakpura road,4.0,Prestige Shantiniketan,2250.0,4,1,110.0,12.8857667,77.5527529,4888.888888888889,11.419297796997913,422
Super built-up  Area,Ready To Move,pattandur agrahara,3.0,MaidoPl,1550.0,2,3,80.0,12.9876393,77.7377718,5161.290322580645,14.643026909017697,585
Super built-up  Area,Ready To Move,marathahalli,2.0,Aiitya ,1200.0,2,2,60.0,12.9552572,77.6984163,5000.0,10.579390364599004,513
Super built-up  Area,Ready To Move,yelahanka,2.0,PuziaVe,1327.0,2,2,98.0,13.1006982,77.5963454,7385.079125847777,13.782932785971552,799
Super built-up  Area,Ready To Move,kothanur,2.0,Prestige Shantiniketan,1186.0,2,2,58.0,13.0613601,77.6493895,4890.387858347386,10.655945836094778,459
Super built-up  Area,Ready To Move,hsr layout,3.0,NRosete,1400.0,3,2,56.0,12.9116225,77.6388622,4000.0,8.129478301094458,353
Super built-up  Area,Ready To Move,nagasandra,2.0,Prestige Shantiniketan,980.0,2,1,48.0,13.0479536,77.5001422,4897.959183673469,13.713715110231965,537
Super built-up  Area,Ready To Move,epip zone,2.0,Prestige Shantiniketan,1285.0,2,2,82.0,12.9781922,77.7246451,6381.322957198444,13.166955828802346,259
Super built-up  Area,Ready To Move,langford town,3.0,Prestige Shantiniketan,912.0,2,1,70.0,12.957998,77.6037312,7675.438596491228,2.025294492390207,484
Built-up  Area,Ready To Move,whitefield,2.0,Sancya ,1225.0,2,2,47.6,12.9963995,77.7614229,3885.714285714286,17.298373199811177,792
Super built-up  Area,Ready To Move,whitefield,2.0,Prestige Shantiniketan,1075.0,2,1,53.0,12.9963995,77.7614229,4930.232558139535,17.298373199811177,792
Built-up  Area,Ready To Move,kadugodi,3.0,MSingco,1260.0,2,2,54.0,12.9957428,77.7579489,4285.714285714285,16.91530285154392,401
Super built-up  Area,Ready To Move,yelahanka,3.0,Pyikad ,1282.0,2,2,48.7,13.1006982,77.5963454,3798.751950078003,13.782932785971552,799
Super built-up  Area,Ready To Move,kogilu,3.0,CaIRSCr,1909.0,3,2,88.0,13.103973,77.6167721,4609.743321110529,14.199958276852136,452
Super built-up  Area,Ready To Move,panathur,2.0,Prcesvy,1359.0,2,1,87.0,12.9351457,77.7047541,6401.766004415011,11.912546584670611,580
Built-up  Area,Ready To Move,nagondanahalli,2.0,Prestige Shantiniketan,1207.0,2,2,43.5,12.97516,77.7703403,3603.976801988401,18.123523943201118,541
Plot  Area,Ready To Move,padmanabhanagar,4.0,Prestige Shantiniketan,1736.0,6,0,190.0,12.9181023,77.5576638,10944.700460829494,8.122453468666519,576
Super built-up  Area,Ready To Move,kammasandra,3.0,Emstael,1595.0,3,2,65.0,12.8607619,77.7415192,4075.2351097178685,19.706975429997165,416
Built-up  Area,18-Jun,"off sarjapur road,",3.0,Prestige Shantiniketan,1798.0,3,2,89.0,12.9098272,77.6878438,4949.944382647386,11.757475556467215,567
Super built-up  Area,Ready To Move,electronics city phase 1,3.0,SNdri N,1475.0,3,2,78.29,12.8401734,77.6595099,5307.796610169492,16.24822297994129,257
Super built-up  Area,Ready To Move,dasarahalli,2.0,Syonyph,1295.0,2,1,65.0,12.9784134,77.5427194,5019.305019305019,6.57682411198543,212
Built-up  Area,Ready To Move,magadi road,6.0,Prestige Shantiniketan,3600.0,6,0,141.0,12.975608,77.5553564,3916.6666666666665,5.202213355747095,491
Super built-up  Area,Ready To Move,electronic city,1.0,Itvir M,589.0,1,1,27.0,12.8487599,77.648253,4584.040747028863,14.929279660467824,254
Super built-up  Area,Ready To Move,ngef layout,3.0,Prestige Shantiniketan,1415.0,3,3,78.0,12.9592694,77.5093895,5512.367491166077,10.361902074531033,559
Super built-up  Area,18-Dec,sarjapur  road,3.0,Klark L,1787.0,3,2,98.29,12.9239942,77.6530304,5500.279798545048,7.912154314694237,653
Super built-up  Area,Ready To Move,sarjapur  road,3.0,Klark L,1787.0,3,2,125.0,12.9239942,77.6530304,6994.963626189144,7.912154314694237,653
Super built-up  Area,Ready To Move,koramangala,3.0,Piityra,1475.0,2,3,90.0,12.9357366,77.624081,6101.6949152542375,5.022166983960599,458
Super built-up  Area,19-Mar,sarjapur  road,2.0,AsastDe,984.0,2,1,44.28,12.9239942,77.6530304,4500.0,7.912154314694237,653
Built-up  Area,Ready To Move,7th phase jp nagar,2.0,Brnia G,1080.0,2,2,72.0,12.9119693,77.5882043,6666.666666666667,7.302975983380769,33
Plot  Area,Ready To Move,shantiniketan layout,2.0,Prestige Shantiniketan,1500.0,2,1,115.0,12.8824524,77.6024627,7666.666666666667,10.382746985007655,673
Super built-up  Area,Ready To Move,hebbal,3.0,Prestige Shantiniketan,1900.0,3,2,119.0,13.0382184,77.5919,6263.1578947368425,6.960805553280324,322
Super built-up  Area,19-Aug,dommasandra,2.0,Prestige Shantiniketan,805.0,2,1,22.14,12.8777098,77.7534769,2750.3105590062114,19.60979104650244,244
Super built-up  Area,Ready To Move,budigere,2.0,PrityTr,1153.0,2,2,56.4,13.1351506,77.7471989,4891.587163920208,23.503772930554565,161
Super built-up  Area,Ready To Move,mylasandra,2.0,Laowsba,1110.0,2,2,55.0,12.9081751,77.4928309,4954.954954954955,14.159408381345758,531
